Wall time,Step,Value
1713766370.5962245,0,1674.0
1713766372.0475543,1,226.0
1713766372.8422463,2,77.0
1713766373.543405,3,74.0
1713766383.8362556,4,677.0
1713766387.5460968,5,284.0
1713766389.6045609,6,242.0
1713766426.3233511,7,2197.0
1713766474.494785,8,1828.0
1713766496.2018344,9,933.0
1713766516.2132719,10,741.0
1713767240.3342795,11,12224.0
1713767241.1614144,12,105.0
1713767403.4474788,13,7177.0
1713767586.213426,14,7620.0
1713767600.243195,15,563.0
1713767746.076829,16,7106.0
1713767762.105699,17,745.0
1713767807.6303744,18,2468.0
1713767830.4961925,19,895.0
1713767831.4435258,20,152.0
1713767837.2264118,21,243.0
1713767853.393931,22,1071.0
1713768471.860208,23,12351.0
1713768481.993449,24,784.0
1713768488.8823934,25,331.0
1713769158.8059185,26,12433.0
1713769183.0247288,27,1249.0
1713769246.71253,28,2686.0
1713769253.6167712,29,531.0
1713769258.6790078,30,535.0
1713769259.4707577,31,71.0
1713769263.9547784,32,407.0
1713769268.8009906,33,319.0
1713769885.7533333,34,12623.0
1713769886.2570794,35,49.0
1713769924.1143763,36,2590.0
1713769924.9944015,37,91.0
1713770114.8932176,38,7331.0
1713770358.4608347,39,8367.0
1713770708.7060022,40,12534.0
1713770911.3949847,41,7550.0
1713771157.7825882,42,7808.0
1713771158.3476608,43,28.0
1713771479.6186924,44,8822.0
1713771489.9492655,45,687.0
1713771494.301887,46,261.0
1713771822.336673,47,8379.0
1713772000.6914134,48,7519.0
1713772019.6358106,49,1572.0
1713772662.267546,50,12302.0
1713772662.9642751,51,84.0
1713772663.7019343,52,100.0
1713772725.1654341,53,2604.0
1713772743.5038126,54,1108.0
1713772921.7360518,55,6970.0
1713773566.9503489,56,12469.0
1713773805.9741485,57,7985.0
1713773806.3542604,58,10.0
1713773822.364905,59,550.0
1713773823.204514,60,91.0
1713773836.4125621,61,653.0
1713773892.557894,62,2336.0
1713773904.4367394,63,574.0
1713774127.003954,64,7648.0
1713774366.7661746,65,8077.0
1713774584.2035644,66,8240.0
1713774597.098515,67,975.0
1713774979.560174,68,9477.0
1713774984.919893,69,622.0
1713775003.1570828,70,719.0
1713775215.598059,71,7514.0
1713775228.779111,72,989.0
1713775229.3852763,73,58.0
1713775241.5003815,74,823.0
1713775245.9133923,75,250.0
1713775426.7598379,76,6991.0
1713775433.3353286,77,413.0
1713775645.402499,78,7627.0
1713775717.8583176,79,3987.0
1713775725.6100764,80,533.0
1713775734.138009,81,755.0
1713775744.9444735,82,582.0
1713776125.896869,83,12799.0
1713776319.5880196,84,7683.0
1713776327.3107855,85,325.0
1713776340.0727086,86,661.0
1713776352.0651093,87,789.0
1713776355.185325,88,285.0
1713776364.9145708,89,916.0
1713776366.3859036,90,110.0
1713776375.8730562,91,634.0
1713776444.1823583,92,3752.0
1713776457.1018257,93,644.0
1713776656.5308938,94,7414.0
1713776657.190043,95,62.0
1713776662.271718,96,281.0
1713776663.1839247,97,116.0
1713776669.485354,98,590.0
1713776680.2414274,99,619.0
1713776697.6079254,100,1181.0
1713776795.9508293,101,5229.0
1713776803.8226142,102,442.0
1713776809.707454,103,384.0
1713776920.3840878,104,5988.0
1713777092.6890938,105,7403.0
1713777111.3373423,106,636.0
1713777149.810568,107,1933.0
1713777150.4577148,108,63.0
1713777159.742343,109,968.0
1713777165.9937823,110,627.0
1713777181.391274,111,1275.0
1713777216.291693,112,1197.0
1713777456.2176185,113,7488.0
1713777456.79775,114,54.0
1713777457.2388499,115,21.0
1713777458.16906,116,119.0
1713777821.1068263,117,12483.0
1713777821.5799344,118,24.0
1713777822.2420838,119,75.0
1713777860.5015414,120,1494.0
1713777862.55051,121,330.0
1713778198.9562345,122,8380.0
1713778220.127066,123,982.0
1713778364.2766852,124,6888.0
1713778396.9776256,125,1757.0
1713778397.8943396,126,123.0
1713778414.3620868,127,941.0
1713778432.1619833,128,813.0
1713778438.0898333,129,434.0
1713778604.4294395,130,7737.0
1713778640.5647073,131,1367.0
1713778913.1453743,132,7697.0
1713779201.2444313,133,8611.0
1713779445.5712543,134,8434.0
1713779640.1969342,135,7342.0
1713779649.266508,136,668.0
1713779649.6435926,137,20.0
1713779650.0776906,138,16.0
1713779656.1410658,139,677.0
1713779807.53831,140,7210.0
1713779808.4435143,141,114.0
1713779809.218691,142,138.0
1713779811.6837726,143,122.0
1713779813.5562105,144,251.0
1713779815.3761272,145,238.0
1713779823.318939,146,706.0
1713779865.9921763,147,1858.0
1713779874.1545362,148,506.0
1713779893.993549,149,1291.0
1713779907.9597404,150,1268.0
1713780092.510092,151,7822.0
1713780097.5802414,152,470.0
1713780138.6115992,153,2381.0
1713780161.0996313,154,1305.0
1713780161.6407533,155,73.0
1713780162.226886,156,72.0
1713780162.934046,157,98.0
1713780164.4033792,158,162.0
1713780170.267719,159,527.0
1713780171.979108,160,204.0
1713780172.459217,161,11.0
1713780172.9603288,162,14.0
1713780173.3534188,163,24.0
1713780210.1410928,164,2202.0
1713780352.2520857,165,6662.0
1713780496.4209735,166,7241.0
1713780500.7429535,167,384.0
1713780716.7080011,168,7667.0
1713780719.8707178,169,436.0
1713780720.442848,170,65.0
